[MALE] was at the county fair .|||he saw a clown there and it scared him so much that he ran away .
today was the big day .|||she had been planning it for months . she woke up early and started getting ready . she had everything set up and was just waiting for her husband to come home from work .
[FEMALE] tried to jog with her friend .|||her friend was doing a lot better than her , so [FEMALE] decided to give up . she told her friend that she would meet her at the finish line , but she never showed up .
[MALE] worked hard on a deck for a card game tournament .|||[MALE] was playing in a prestigious tournament in las vegas . he had worked hard on his deck and was feeling confident . in the first round , he was matched up against the world champion .
[FEMALE] is easy to scare .|||one evening , [FEMALE] was home alone when she heard a noise coming from the kitchen . she quickly turned off all the lights and hid under the covers , waiting for the intruder to come find her . when nothing happened after a few minutes , she slowly crept out of bed and into the kitchen , only to find that she had just been hearing the sound of the dishwasher .
[FEMALE] offered his friend some candy .|||[FEMALE] offered her friend some candy . her friend refused , saying that she did n't eat candy . [FEMALE] then offered her friend a cookie , which her friend accepted .
[FEMALE] and her brother [MALE] had a flower shop .|||[FEMALE] and her brother [MALE] had a flower shop . they sold flowers that they grew in their garden . they also sold flowers that they bought from the market . they had a lot of flowers in their shop .
[MALE] moved into a new apartment .|||[MALE] was n't used to living alone . he missed the sound of someone else 's breathing at night . he would sometimes hear his neighbors fighting and it would keep him up for hours .
[FEMALE] hated her job .|||she worked long hours for little pay and no benefits . she was always tired and she hated her job . one day , she was walking to work and she saw a sign for a job opening at a local daycare . she applied and got the job .
[FEMALE] friend had to go to jail for two days .|||[FEMALE] 's friend had to go to jail for two days . [FEMALE] was really upset because she thought her friend was innocent . [FEMALE] 's friend called her from jail and told her that he was okay . [FEMALE] was relieved that her friend was okay .
[NEUTRAL] was watching tv while babysitting his baby sister .|||the baby was sleeping so [NEUTRAL] turned up the volume . his sister started to cry so he turned it down . she cried louder so he turned it up . she cried even harder so he turned it off and she fell asleep .
every year [NEUTRAL] 's mother baked her a cake for her birthday .|||[NEUTRAL] loved the moist chocolate cake with chocolate frosting that her mother made for her every year on her birthday . she always looked forward to it and it was always the best cake she ever had .
[FEMALE] was at a [NEUTRAL] casino with her friends .|||[FEMALE] was at a casino with her friends . she was having a good time until she lost all her money . her friends were playing poker and she did n't know how to play , so she just watched .
[MALE] and his family wanted to do something fun .|||[MALE] and his family wanted to do something fun and new . they had been to all the popular tourist destinations and they were looking for something different . one day , [MALE] 's uncle told them about a new amusement park that had just opened . they went and had a blast .
[MALE] kept missing magazine subscriptions .|||[MALE] would forget to renew them or he would lose the envelopes . his wife would get angry with him and he would promise to do better . but he would always forget .
it had been several months since my old dog had died .|||i had n't been able to bring myself to get a new dog yet . i was still too attached to my old dog . but then one day , i was at the park and i saw a little black dog who was just sitting there , alone . i knew i had to take him home .
[NEUTRAL] was driving home from work .|||it was getting dark and he was tired . he was glad when he saw his house in the distance . as he got closer , he noticed that there was a police car parked in his driveway .
during career week , [MALE] was dreading his meeting with the counselor .|||he had no idea what he wanted to do with his life . when he got to the counselor 's office , he found out that she was a recent graduate of his school . she told him about all of the different opportunities that were available to him and how she made the decision to become a counselor .
danni was obsessed with her own looks .|||she was always checking herself out in the mirror . she would go to the gym for hours at a time . she would also not eat anything she did n't like the look of .
[MALE] was at a party .|||[MALE] was at a party with his friends when he saw [FEMALE] . he had always wanted to talk to her , but he did n't know how to start a conversation . this was his chance .
[MALE] was walking on the beach .|||he saw a girl walking on the beach . she was very pretty .
[FEMALE] was about to go for a quick run at night .|||she put on her running clothes and shoes and left her house . she turned on her headlamp and started running . after a few minutes , she saw a man walking towards her .
[MALE] and jordan have an apartment together .|||the apartment is small , and they are always running out of space . [MALE] wants to move to a new house , but [FEMALE] does not want to move . [MALE] convinces her to look at a couple new houses . she does not see any that she likes . [FEMALE] refuses to move .
[MALE] is hired to be a cameraman .|||[MALE] is hired to be a cameraman for a nature show . he is very excited to start his new job , but he is also a little nervous . he has never been a cameraman before , but he is sure that he will be able to do a great job .
[NEUTRAL] notices that it is harder for him to see distant objects .|||[NEUTRAL] goes to the doctor and is told that he has a cataract in one eye . the doctor says that he needs surgery to remove the cataract .
[FEMALE] was known for her beautiful hair .|||she would often get asked to do hair for special occasions . she enjoyed doing hair because it was a way for her to help people feel beautiful .
[NEUTRAL] was really tired after work .|||he usually watched tv for a couple hours before bed . but one night , he decided to go for a run instead . he felt better after the run and was able to sleep better .
while the dentist was pulling her tooth , she tried to be still .|||she gritted her teeth and tried not to make a sound . the dentist told her it was going to hurt but she did not believe him . she was in agony by the time he pulled the tooth out .
[MALE] was working with a group .|||[MALE] noticed that one member of the group , [FEMALE] , was not working very hard . he went over to her and asked her what was wrong . [FEMALE] told him that she was having a hard time understanding the instructions . [MALE] helped her to understand and then she was able to work with the rest of the group .
[MALE] is a large man .|||[MALE] is a large man and he wants to move to a new house . his wife [FEMALE] does not want to move , but [MALE] convinces her to look at a couple new houses . they go to look , but [FEMALE] does not see any that she likes . [FEMALE] refuses to move , so they go back home .
i have a big collection of cups that i just made bigger .|||over the years , my collection of cups has gradually grown . about two years ago , i decided to start collecting cups in different sizes . so , i started buying larger cups and then gradually added smaller cups to my collection . my latest addition is a set of mini cups that i just bought yesterday .
[FEMALE] cooked dinner for her family .|||[FEMALE] cooked dinner for her family every night . she made sure there was always a variety of food so that everyone would be happy . her husband [MALE] always complimented her cooking and said she was the best cook he knew .
i really wanted a part in the school play .|||my friend janine got the lead role . she was so excited and i was really jealous . i auditioned but i did n't get the part . i was really upset .
when i was 8 months pregnant , we had a huge ice storm .|||when i was 8 months pregnant , we had a huge ice storm . the ice was so thick , it blocked the roads and knocked out power for days . i was stuck at home , pregnant and in the dark .
[FEMALE] hated spring time .|||she said the flowers were too pretty and she got allergies easily . the pollen in the air made her sneeze all the time . she was happy when summer came .
[FEMALE] noticed her tap water was dirty .|||she started to get sick a lot and her hair was falling out . she found out that the water company was dumping their toxic waste into the river . [FEMALE] and her neighbors sued the company and they won .
[MALE] , a teen , felt uneasy about his family moving to a new town .|||[MALE] had always been close to his family and he loved spending time with them . but he was worried that he would n't be able to make any friends in the new town . he was pleasantly surprised when he met his new classmates and they all seemed really friendly .
[MALE] 's teacher had given him an f on a test .|||[MALE] was angry and frustrated when he got his f on the test . he did not know how to improve his score . his teacher told him to ask his friends for help . [MALE] did not want to do that because he was embarrassed .
[MALE] was driving to work one day .|||he was driving to work one day when he got a call from his wife . she told him that she had found a new house that she wanted to move to and she wanted him to come home and take a look at it . when he got home , she showed him the house and he agreed that it was nice . the only problem was that his wife did n't want to move . she said that she liked their old house and did n't want to leave . [MALE] then told her that .
[MALE] wants to try new foods .|||he 's been eating the same things for years and he 's getting bored . he asks his friend [FEMALE] for suggestions . she recommends a few new places to try . [MALE] goes to one of the places and he likes it .
trick-or-treaters ran down [FEMALE] 's street with the last of her candy .|||she quickly shut the door and went to the kitchen to get a snack . she was in the middle of eating when she heard a knock . she opened the door to find a group of kids from her neighborhood .
[MALE] was driving on the freeway .|||[MALE] was driving on the freeway when a car in front of him hit the brakes . [MALE] did n't have time to react and hit the car in front of him .
[FEMALE] and [MALE] had just bought their first home .|||they were so excited to finally be homeowners . they spent the entire day cleaning and fixing up the house . by the time they were done , they were exhausted but it was worth it . they were finally able to call the house their home .
before leaving school , i checked my phone and noticed 5 missed calls .|||i assumed they were from my mom , so i called her back . it turned out that she had been trying to call me for the past hour because she was on her way to pick me up from school .
[FEMALE] and her friends were visiting las [NEUTRAL] .|||[FEMALE] and her friends were visiting las vegas . they were walking through the casino when they saw a man at a poker table . [FEMALE] 's friends wanted to go over and watch , but [FEMALE] did n't want to . she said she did n't know how to play poker and did n't want to look like an idiot .
the man locked the door .|||the man locked the door , but he also put the key under the mat .
[FEMALE] and her friends were at a boring club in las [NEUTRAL] .|||[FEMALE] and her friends were at a boring club in las vegas . [FEMALE] was looking around the room , trying to find something interesting to do , when she saw [NEUTRAL] . [NEUTRAL] was sitting at the bar , looking sad . [FEMALE] walked up to him and asked him what was wrong . [NEUTRAL] told her that he was bored and that he did n't know anyone at the club . [FEMALE] told him that she was bored too and that she .
[FEMALE] went out to eat with her friends .|||she ordered a burger and fries , but when the food arrived , she was really disappointed . the burger was tiny and the fries were cold and soggy .
[MALE] always drove his grandmother to her weekly bingo game .|||one day , [MALE] told his grandmother that he would start driving her instead . she was so happy and grateful that she cried .
[FEMALE] lit up a cigarette .|||[FEMALE] lit up a cigarette and took a long drag . she loved the feeling of the nicotine rushing through her system and the smoke filling her lungs . she smiled and exhaled a long stream of smoke .
[MALE] bought a new boat .|||[MALE] was very excited to buy his new boat . he could n't wait to take it out on the open water . the day finally arrived and he hit the open seas . he was having a great time until he hit a rock . the boat was damaged and he had to go back to shore .
i went inside to fix my wound .|||once i was done tending to my injury , i decided to explore the creepy old house . it was definitely not the best idea , as i got lost and wound up in the basement . there i found a secret door that led to a hidden underground lab .
she wore her new glasses to school .|||she wore her new glasses to school and they made her feel self-conscious . she felt like everyone was looking at her and judging her . she did n't like the way she looked in them and she was sure that everyone else could tell that she was wearing them for the first time .
[FEMALE] went to the dentist this week .|||she had to get a couple of her wisdom teeth taken out . she 's been trying to take it easy so her jaw can heal properly .
[MALE] worked at the ranch .|||one day , the ranch owner 's daughter , [FEMALE] , came to visit . [MALE] was very impressed with how beautiful she was . he did n't think he had a chance with her , but he started to work on his charm .
[FEMALE] best friend is called [MALE] .|||[FEMALE] and [MALE] have been best friends since they were in grade school . they went to the same high school and now they both attend the same college . [MALE] is the captain of the college 's basketball team and [FEMALE] is the manager .
[FEMALE] went to school to become a zoo keeper .|||when she finished school , she started working at the zoo . she loved it there , but eventually she decided she wanted to move on and do something different .
[FEMALE] wanted to surprise her boyfriend for her birthday .|||she planned a weekend away in a cabin that she found on the internet . when she got there , she found out that her boyfriend was already there with another girl .
our cat likes to play with twist ties .|||she bats them around for a while before getting bored and walking away . we always find twist ties all over the house , under furniture , and in the oddest places . it 's like she 's trying to tell us something .
[MALE] 's only socks had holes in them .|||[MALE] tried to mend them but they just got worse and worse . his mom got mad and said she would buy him some new socks . [MALE] was so happy .
after the watermelon floated for a while , it was cold .|||the watermelon was starting to get cold . it had been floating in the pool for a while and the sun was going down . the cool evening air was starting to nip at our skin . we decided to get out of the pool and go inside .
[FEMALE] had never been scuba diving before .|||she was scared of the water and she was claustrophobic . her husband [MALE] was a scuba diver and he wanted her to try it . she finally agreed and she loved it . she said it was the best decision she ever made .
[FEMALE] plays the saxophone in a jazz band .|||[FEMALE] has been playing the saxophone in a jazz band for a few years now . she 's really good at it and loves the sound of the instrument . she 's always been interested in jazz music , and playing in a band is a great way to explore her interest .
[FEMALE] was packing for her trip .|||she put her electronic devices in one bag and packed her clothes in another . she then put her toiletries in a small bag . she was ready to go .
i sighed with frustration when [FEMALE] cancelled yet another appointment .|||i sighed with frustration when she cancelled yet another appointment . i had been looking forward to this meeting for weeks , and now she was going to bail on me last minute ? again ? .
[MALE] is a young actor who always wanted to get a role in a big movie .|||[MALE] finally gets a call from a movie producer . the producer tells [MALE] that he got the part in a new movie . [MALE] is excited and tells his friends .
[MALE] had his things stolen .|||[MALE] had his laptop , phone and wallet stolen from him while he was asleep in his hostel room . he was left with nothing and had to borrow money from his friends to get home .
[NEUTRAL] thought the taxi company ran until ten .|||[NEUTRAL] was very surprised when he got a call from the taxi company at nine telling him that his taxi was there . he thought they only ran until ten .
the man rolled the dice .|||the man rolled the dice and they came up with a two . `` i get to move again , '' he said to himself . his wife did n't want to move , but he managed to convince her to look at a couple new houses . however , she did n't see any that she liked and she refused to move .
[FEMALE] 's grandmother was sick .|||[FEMALE] 's grandmother was sick and the family needed to take care of her . [FEMALE] was very helpful and took care of her grandmother a lot . [FEMALE] 's grandmother was very grateful and she loved [FEMALE] very much .
[MALE] was failing in college .|||[MALE] did not know what to do . he had no idea how to tell his parents . he thought about it for a few days and then decided to drop out of college and get a job .
[MALE] was riding his bike far away from home .|||[MALE] found that he liked the feeling of being far away from home . he liked the feeling of being able to ride his bike for a long time and not have to worry about anything .
i stole the assistant principal 's walkie talkie .|||i slipped the walkie talkie out of his pocket while he was turned around . i hit the transmit button and started talking in a high-pitched voice . `` this is chelsea speaking , over '' .
[MALE] was unsure why he felt so bad .|||[MALE] had always been a healthy person . so he did not understand why he was feeling so ill . he went to the doctor and found out he had cancer .
[MALE] missed a meeting at work .|||he called his boss and explained the situation . his boss told him he could make it up by working over the weekend . [MALE] agreed and hung up the phone .
[FEMALE] goes on a date with a man and likes him .|||[FEMALE] decides to go out with the man again . she has a great time . but at the end of the night , she realizes that she left her phone at his house .
[MALE] was very nervous .|||[MALE] was very nervous before his interview . he did a lot of research on the company and the position he applied for . he felt confident that he was the perfect candidate but he was still anxious about the meeting .
the man heard a siren .|||the man heard a siren and he knew that it was coming for him . he had been speeding and he knew that he was going to get pulled over . he was worried because he did n't have any money to pay the ticket .
[FEMALE] is sleeping her in bed one night .|||she wakes up to a noise and realizes that someone is in her room . she is scared and does not know what to do . she lays back down and tries to go back to sleep .
[FEMALE] was arrested for possession of drugs , since they were in her car .|||the prosecutor said that the drugs were in plain sight and that [FEMALE] knew they were there . [FEMALE] said that she had no idea how they got there and that she had never seen them before .
[FEMALE] husband came home exuberant from the flea market .|||he had found a painting that he loved and he was so excited to show it to her . when she saw it , she was not impressed . she said that it looked like a child had done it and she did not want it in their house .
i wanted to start a diet .|||i was feeling really unhappy with my body and i wanted to start a diet . i knew that i had to make a change if i wanted to feel better about myself . i made a commitment to myself to stick to the diet , and i was successful . i lost a lot of weight and i felt great .
[FEMALE] wants a new toy .|||[FEMALE] asks her parents for a new toy . her parents say no because they think she has too many toys already . [FEMALE] starts to cry and her parents give in and buy her the toy .
[MALE] had always wanted to visit [MALE] .|||[MALE] had always wanted to visit [MALE] , but he never had the chance . that is , until one day when [MALE] finally got the chance to visit [MALE] .
[FEMALE] has decided that she wants to buy a cellphone .|||she has already saved up a little money and she knows that she wants a iphone . she is not sure if she should buy it outright or sign up for a plan . she knows that she needs to make a decision soon because the iphone is about to be released in a new color .
[FEMALE] mother called back several times .|||[FEMALE] 's mother called back several times , but she refused to answer . she did n't want to talk to her mother .
we went to the park to go through the haunted trail .|||the sun had set and the trail was starting to get dark . the woods were so spooky and i could hear the monsters moving around . we were so scared that we turned around and went back to the park .
a [NEUTRAL] supporter tried to vote on a local election .|||a [NEUTRAL] supporter tried to vote on a local election , but they were not registered in the district .
we wanted to put some color in our house .|||we decided to paint the walls pink . we both loved the color but our friends and family thought we were crazy . we stuck to our guns and now we love our pink house .
[FEMALE] youngest niece got married last week .|||as a bridesmaid , she helped to get the venue ready and made sure that the bride was calm and happy on the day . she was so happy to see her niece get married and start her own family .
tonight , my mom ordered mexican food for family night .|||tonight , my mom ordered mexican food for family night . we all gathered around the kitchen table as she dished out the food . i was excited because i love mexican food , but i also knew that my mom was a great cook .
[MALE] wanted to be stronger than his older brother .|||[MALE] was always trying to keep up with his older brother . he wanted to be as strong as him and do everything he could . but his brother was always one step ahead .
i hated math class more than anything .|||i was never good at math and it was always a struggle for me . the teacher would ask a question and i would just sit there completely blank . i always felt so embarrassed and like everyone was judging me .
the painkillers made her work difficult .|||the painkillers made it difficult for her to concentrate at work . she was always tired and her mind was foggy . she talked to her boss and they agreed that she should take a leave of absence until she was feeling better .
[FEMALE] worked over deep fryers all day , so she often got burn blisters .|||she started getting burn blisters on her hands and arms . she went to the doctor and they gave her a cream to put on her skin . it worked for a while but then the blisters came back .
[MALE] had been gaining a lot of weight .|||[MALE] had been gaining a lot of weight and he did n't know why . he exercised and ate healthy , but the scale just kept going up . one day , he decided to go to the doctor to get some help . the doctor told him that he had a hormone imbalance and needed to go on medication to fix it . after taking the medication for a few months , [MALE] started to lose weight and was finally able to get back to his ideal weight .
[MALE] is taking his driver 's licenses test .|||[MALE] is getting ready to take his driver 's license test . he 's nervous but he 's also excited . this is a big step in his life and he 's ready for it .
[NEUTRAL] woke up to use the restroom at night .|||he noticed the front door was open . he walked outside to find his car was gone . he called the police and they found the car parked in a ditch . the thief had taken the stereo and left [NEUTRAL] stranded .
[MALE] went to the library to play a game on his laptop .|||[MALE] sat down at a computer and started typing in the game 's address . he had played this game online with friends before and he was pretty good at it . while he was playing , he did n't notice someone come up behind him and steal his laptop .
[FEMALE] opened her windows for spring cleaning .|||[FEMALE] was n't sure where to start . she looked around and saw that the kitchen needed the most work . she started there and then moved on to the other rooms .
[FEMALE] was doing great at the spelling bee .|||she was in the final round and she was the last one to spell the word . she was so nervous but she got it right . she was so happy and she hugged her dad .
[MALE] was watching a movie with friends .|||[MALE] and his friends were watching a movie . [MALE] was sitting in the middle , with his friends on either side of him . [MALE] 's friends were trying to get him to move over so they could see the movie better , but [MALE] refused .
[MALE] is heartbroken .|||[MALE] is heartbroken because his [FEMALE] partner has left him for another man . he is finding it hard to cope with the situation and is spending a lot of time alone . he is considering moving away from the city to start again .
[MALE] found a kitten by the road .|||he took it home and cleaned it up . he fed it and gave it water . the kitten was very weak . [MALE] took it to the vet the next day . the kitten was saved and [MALE] adopted it .
[MALE] smoked with his friends .|||[MALE] smoked with his friends outside the school . it was a habit he formed in middle school and he continued doing it through high school . his parents did n't know he smoked until they found cigarettes in his car .
[MALE] got his first tattoo .|||[MALE] got his first tattoo when he was eighteen . he was really nervous about it , but his friends convinced him to go through with it . he remembers the pain vividly , but he 's really happy with the finished product .
i began to amass a huge collection of books .|||as my collection grew , so did my need for more shelf space . i began to stack them on the floor and in every other nook and cranny in my room . my mom threatened to get rid of them if i did n't find a better place to store them .
the man painted a truck .|||he loved the way it turned out . he showed it to his friends and they all said it was the best truck they had ever seen . the man was very proud of his work .
[FEMALE] stood with the back door open watching the snow pile up .|||she loved the snow because it was so beautiful to look at , but she hated having to shovel it . she would stand and watch it for hours until it was too deep to stand out there anymore .
he was quite irritable .|||[MALE] wants to move to a new house but his wife [FEMALE] does not want to move . [MALE] convinces her to look at a couple new houses . she does not see any that she likes . [FEMALE] refuses to move.[female] and her family were attending her grandpa 's funeral . [FEMALE] did not want to sit in the front row . she waited in the lobby till everyone was seated . she crept in and took a seat towards the .
[FEMALE] is the season for peaches .|||[FEMALE] loves peach season because the fruit is so sweet and juicy . she enjoys eating them as is , but she also likes incorporating them into her recipes . one of her favorite dishes to make during peach season is peach cobbler .
[FEMALE] husband bought a pile of sand to go under our pool .|||[FEMALE] and her husband were excited to finally get their pool . they ordered a pile of sand to go under it and waited for it to arrive . when the sand finally arrived , they were so excited to start filling up the pool . unfortunately , their excitement turned to disappointment when they realized that they did n't order enough sand .
i bought a new office chair the other day .|||it 's really comfortable and it helps me stay alert throughout the day . the only downside is that it 's a little bit expensive .
our two year old granddaughter is learning how to read .|||our granddaughter is learning how to read and we are so proud of her . we are glad that she is able to do this at such a young age and we know that she will continue to excel in her education . we know that she will be able to do anything that she sets her mind to .
[FEMALE] went to the beach yesterday .|||the sun was shining and the waves were crashing against the shoreline . [FEMALE] walked along the sand , taking in the salty air . she smiled as she felt the warmth of the sun on her skin .
i had a stroke in 2011 and can not walk well .|||i was in the hospital for about a month . i had to learn how to walk all over again . it was really hard , but i was determined to get better . i am much better now , but i still have some trouble walking .
[MALE] watched a show about medieval knights .|||[MALE] was fascinated by the show . he was amazed by the armor and swords the knights used . he was inspired to learn more about the period and started reading about it online .
[FEMALE] hated taking baths .|||she would usually take showers instead because she hated how long it took to fill up the tub and then wait for the water to get hot . one day , her mom caught her taking a shower and gave her a bath . [FEMALE] has been taking baths ever since .
[FEMALE] was a beautiful wolf dog .|||[FEMALE] was the runt of the litter . she was also the only one with blue eyes . her mom and dad loved her and protected her from the other dogs .
i enjoy swimming .|||the water supports me and pushes me in the right direction . it 's like somebody is doing the work for me and all i have to do is relax and enjoy the ride .
[MALE] had a crush on [FEMALE] .|||[MALE] wanted to move to a new house , but his wife [FEMALE] did not want to move . [MALE] convinced her to look at a couple new houses , but she did not see any that she liked . [FEMALE] refused to move.[female] and her family were attending her grandpa 's funeral . [FEMALE] did not want to sit in the front row , so she waited in the lobby till everyone was seated . she crept in and took a seat .
i bought an antique ice cream churn .|||the churn is beautiful but it 's very heavy . i ca n't churn the ice cream by myself so i need to find someone to help me .
[MALE] is challenging his friends to a food eating race .|||[MALE] and his friends are all gathered around the table , ready to start the food eating race . [MALE] is the first to start , and he quickly eats his way through the plate of food . but his friends are quickly catching up , and soon they are all neck and neck . in the end , [MALE] just manages to beat his friends to the finish line , and he celebrates by eating an extra large piece of cake .
it has been raining for days .|||the rain has been coming down non-stop for days now . it 's starting to drive everyone a little crazy . the forecast does n't show any signs of it stopping anytime soon either .
[MALE] bought a new phone and got a new number .|||[MALE] had to give his old number to his boss . he did n't want anyone he knew to have it . he wanted a fresh start with his new number .
we went to visit my cousins .|||we went to visit my cousins in the countryside . it was a beautiful day and the sun was shining . we had a great time playing together . we laughed and joked and had a lot of fun .
[MALE] is looking for a date [FEMALE] night .|||[MALE] is looking for a date [FEMALE] for friday night . [FEMALE] agrees to go on a date with [MALE] .
the man learned [MALE] .|||the man learned how to swim at a very young age . he loved being in the water and found that he was quite good at swimming . he would often go to the beach with his friends and family and spend hours in the ocean .
[MALE] was talking to the detective about what happened to his mom .|||[MALE] told the detective that he thought his mom was killed by the man who was stalking her . he said that he saw the man outside their house a few times . the detective told [MALE] that they would look into it and get back to him .
though [FEMALE] had never wanted children , she did n't use birth control .|||though [FEMALE] had never wanted children , she did n't use birth control . she became pregnant with her first child and she loved him more than anything . she decided she wanted more children , and she had three more .
[NEUTRAL] was trying to clean up around the apartment .|||he saw a cockroach on the floor and started to freak out . he did not want to touch it so he tried to kill it with a book . the cockroach flew away and [NEUTRAL] was left with a book in his hand and a mess to clean up .
[FEMALE] did n't have much money for formula .|||she started mixing the powder with water from the sink . she also started breastfeeding [MALE] even though she was not producing enough milk . she supplemented with formula when she could afford it .
[FEMALE] teacher in the 10th grade was the uncle of a famous musician .|||music was his life . he played the trumpet in the school band and the jazz band on the weekends . [FEMALE] teacher was always telling him how proud she was of him .
[FEMALE] was afraid of heights .|||[FEMALE] refused to go on the ferris wheel with the rest of her friends . she was too afraid of heights . her friends made fun of her and called her a chicken . [FEMALE] was so embarrassed that she refused to go on any more rides .
[MALE] wanted to lose weight fast .|||[MALE] read online that the best way to lose weight fast was to cut out carbs . he decided to try it and within two weeks he had lost five pounds .
i had some bad pains in my stomach .|||i had some bad pains in my stomach so i went to the doctor . he did an ultrasound and found out i had a tumor on my ovary .
the teacher walked in a bad mood .|||it was clear from the start that the class was n't going to get along with her . she started by writing a problem on the board that none of the students could understand .
the man ordered extra cheese .|||the man loved cheese and always ordered extra . his favourite was pizza with extra cheese . one day , he went to his favourite pizza place and ordered his usual . when the pizza arrived , he saw that there was no extra cheese . the man was so angry that he threw the pizza across the room .
[MALE] 's car insurance rate had gone up .|||[MALE] was not happy when he found out that his car insurance rate had gone up . he had been a safe driver for years and was not sure why his rate had increased .
today i broke my electric tea kettle .|||now i have to go buy a new one . i do n't know if i should get another electric one or maybe try a stove top one this time .
[FEMALE] found a chair in a crowded club .|||she thought it would be a good place to rest her tired feet . [FEMALE] was soon pushed out of the chair by a man who needed it more .
[MALE] worked at the prison .|||[MALE] worked at the prison for seven years before he was transferred to a new facility . he was happy with his job and the people he worked with , but he was excited to start a new chapter in his life .
the move to our new home took a few days .|||on the first day , we unloaded the truck and started to unpack . it was a lot of work , but we managed to get everything into the house . on the second day , we finished unpacking and started to get settled in . on the third day , we started to get organized and on the fourth day , we were finally finished .
[NEUTRAL] got into an argument with his parents .|||he refused to go to bed and yelled at them for hours . his parents were exhausted and did n't know what to do . they called his grandparent for help and [NEUTRAL] was sent to his house for a week .
[MALE] had a party one night .|||some people who were not invited showed up . [MALE] asked them to leave and they refused . he called the police and they had to escort the people out .
[MALE] was ahead of the curve .|||[MALE] was always a trendsetter . even when he was in high school , he was always one of the first to get the newest clothes and technology . when he started working , he was one of the first to get a cell phone .
[MALE] and [FEMALE] took their dad 's boat out on the lake .|||[MALE] was steering and [FEMALE] was fishing . they were both having a great time when they heard someone shout . they turned around and saw that their dad was waving at them from the shore .
[MALE] wanted to have the scariest house for halloween this year .|||[MALE] found the perfect house for his halloween party . it was an old , abandoned house that had been foreclosed on . the only problem was that the new owner was n't too happy about it .
[MALE] loves making chocolate milk .|||he always has a few packets of hot chocolate mix in his pantry . he also has a carton of milk in the fridge . when he feels like having chocolate milk , he just puts it all in the blender and blends it up .
[MALE] was great at telling jokes .|||[MALE] was always the life of the party . he loved making people laugh . one night , he was at a bar with some friends . he saw a woman sitting by herself . he decided to go up to her and tell her a joke .
[FEMALE] recently graduated from high school and wanted a cook out .|||her parents refused to have a cook out in their backyard . [FEMALE] had to go to her friend 's house . all of her friends came and the backyard was so full that there was not enough room for anyone to cook . [FEMALE] 's parents came to the cook out and they were so embarrassed that they had to leave .
[MALE] wanted to lose weight .|||[MALE] cut out all junk food and exercised every day . it worked for a while but he got really bored of the same routine . he started eating junk food again and he gained all the weight back .
[FEMALE] and her mom both loved to shop .|||whenever they had free time , they would go to the mall or shop online . [FEMALE] often found great deals , but her mom would sometimes get frustrated because she would spend too much money .
[FEMALE] worked in the service center of a freelance writing firm .|||the customer service center was always busy . [FEMALE] had to deal with a lot of complaints and she was always stressed out . she was always on the phone and she rarely had a break .
a female mourning dove called night and day for a mate .|||she continued to call for weeks after her mate had died . people in the neighborhood started to complain about the noise . one day , a man shot the dove because he thought it was driving him crazy .
[FEMALE] mom and i went to [FEMALE] .|||my mom and i went to the store . i wanted to get a new shirt but my mom said no . she said that i already had too many clothes .
[MALE] had a sad ferret .|||[MALE] 's ferret was sad because it missed its family . [MALE] did everything he could to make it happy , but nothing worked . one day , [MALE] found a new family for the ferret and it was happy again .
[FEMALE] wanted a koi pond .|||[FEMALE] 's husband did n't want a koi pond . he said it was a waste of money and it would only attract bugs . [FEMALE] did some research and found a koi pond she liked . she convinced her husband to build it and they both love it .
[FEMALE] was binge watching her favorite tv show .|||she was so into the show that she did n't hear her phone ring . it was her best friend [MALE] . [FEMALE] did n't answer the call . [MALE] called again and left a voicemail . [FEMALE] still did n't answer .
[MALE] was out on a hike .|||he took a wrong turn and got lost . he saw a cabin in the distance and went to investigate . the door was open so he went in . there was a map on the wall and it showed him the way back to his car .
[MALE] had a lovely girlfriend .|||although [MALE] loved his girlfriend , he knew that they were on two different paths in life . while [MALE] wanted to move to a new house , his wife did not want to move . he convinced her to look at a couple new houses , but she did not see any that she liked . [FEMALE] refused to move , but eventually gave in to her husband 's wishes.meanwhile , [FEMALE] and her family were attending her grandpa 's funeral .
[FEMALE] was recently unemployed and needed food .|||she looked online for help and found a food bank that was close to her house . she went there and they gave her a week 's worth of food .
every day , the school children would play in the park .|||one day , a new girl moved into the neighbourhood . the children were excited to have a new person to play with . the girl was shy and did n't talk to anyone . the children continued to play together , but the new girl always stayed on the sidelines .
[MALE] wanted to go swimming .|||[MALE] found a pool near his house that allowed swimming . he went every day for a month and then stopped going . he said he was too busy with work .
[FEMALE] did n't know what to watch .|||she had just finished her shift at work and she was tired . she did n't want to think too hard about what to watch . she turned on the tv and whatever was on at the time she would watch .
[NEUTRAL] searched the sales ads for a new coffee maker .|||the ads were all for high-end coffee makers that were way out of his budget . he found a model that he liked , but it was too expensive . he ended up finding a cheaper model that he liked just as much .
[MALE] was a vegan .|||[MALE] was a vegan . he did n't eat any meat , eggs , or dairy products . he believed that animals deserved to live just as much as humans did .
[FEMALE] has not been happy with her marriage .|||she told her friends that she thought her husband was cheating on her . one of her friends told her to get a divorce . [FEMALE] does not want to get a divorce .
i woke up one morning after having terrible nightmares .|||ive been having nightmares for weeks now and i 'm not sure why . ive tried to take some sleeping pills but they don 't seem to be working . i do n't know what to do .
